,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BB_TT-FB_181_L-US_GS_18_AdT-Combo_Benefit-Freebook_Itr-24w43-1-VD - Copy,W20+ || Top7 Eng || Free Book Pixel || BB FrB LLA 5% || 1C || 10.29,"$5,581","173,400",2025-03-14,2025-04-14,31
2,BB_TT_418_L-US_SS_24_AdT-New_MN-Shoelovers_Benefit-Freebook_Itr-24w43-1-VD - Copy,W21+ || Top LTV || BB LLA 2% || 1C || 03.07,"$4,433","105,093",2025-03-07,2025-04-14,38
3,BB_TT-FB_181_L-US_GS_18_AdT-Combo_Benefit-Freebook_Itr-24w43-1-VD,W20+ || TopC || FrB Pixel || INT || 1C || 02.19,"$3,810","128,768",2025-02-19,2025-04-14,54
4,DF_3655_blog_experiment70book_cv_en_BR_1080_1_PG-Ruth_Lawson | How This Woman | This 70-year | LP:experiment70 – Copy 3,WW (incl. list) | Emails | 18-65+ | FB Pixel | 7C1V | 04.06,"$3,099","54,042",2025-04-06,2025-04-12,6
5,BB_SM_1719_JM_1_AdF-Vid_9x16_L-US_25w08_EXTRA20-Qbox_CTA-349,😏 || CC || TopC || LP:Mix || Bl30d || ASC || 1C || 03.21 Ad set,"$3,056","131,711",2025-03-21,2025-04-14,24
6,BB_SM_1522_SL_3_AdF-Vid_9x16_L-US_24w47_Offer-SignToGet-70Extra_CTA-331 - Copy 4,Manual W21+ || WW || BB vLLA 1% || BL14d || 1C || 01.31,"$2,885","124,928",2025-01-31,2025-04-14,73
7,DF_4076_blog_menopausebook_cv_en_BR_1080_9_Itr-25w03-1-4-OS_PG-Ruth_Lawson | Menopause: managing | And guess what? | LP:BB 575,Tier 1 | Broad | 18-65+ | FB Pixel | 7C1V1E | 04.05,"$2,823","114,113",2025-04-05,2025-04-14,9
8,BB_SM_1749_VD_2_AdF-St_1x1_L-US_25w10_FREEBOOK-Offer_Itr-1678 - Copy 2,W21+ || TopC || Broad || LP:Mix || FrB Bl30d || 1C || 03.27,"$2,782","83,086",2025-03-27,2025-04-14,18
9,BB_TT_418_L-US_SS_4_AdT-New_MN-Shoelovers_Testimonials_S-SMS50_Itr-CTA11-GS_WItr1_S-SP5-60 - Copy 3,W21+ || 🌎 WW || BB VV LLA5-10% || LP:Mix || Bl30d || 1C || 03.26,"$2,754","136,633",2025-03-26,2025-04-12,17
10,DF_4076_blog_menopausebook_cv_en_BR_1080_9_Itr-25w03-1-4-OS_PG-Ruth_Lawson | Menopause: managing | And guess what? | LP:BB 575,"US,UK,CA | Broad | LP: BB 575 | Top Ads | Dr. Ruth Lawson | New Potential Winners","$2,578","88,388",2025-03-29,2025-04-11,13
11,BBF_SM_151_SL_1_AdF-St_1x1_L-US_25w13_blog-Menopause40book-Blog_CTA-324_Itr-108_After45 | Menopause: managing | And guess what? | LP:BB 575,BBF_151_SL_25w13_Blog_Itr-108 | Batch #1 | LP:After45| blog_menopause_cv_en | LP: BBF 575,"$2,535","93,129",2025-04-05,2025-04-11,6
12,BB_SM_1741_AS_1_AdF-St_1x1_L-US_25w09_FREEBOOK-Offer_CTA-00_Itr-1678,590 | BB_SM_1741_AS_1_AdF-St_1x1_L-US_25w09_FREEBOOK-Offer_CTA-00_Itr-1678,"$2,505","88,974",2025-03-15,2025-04-14,30
13,BB_TT-FB_181_L-US_GS_18_AdT-Combo_Benefit-Freebook_Itr-24w43-1-VD - Copy,W21+ || Top LTV || BB LLA 4-6% || 1C || 03.07,"$2,169","83,516",2025-03-07,2025-04-14,38
14,BB_TT_418_L-US_SS_24_AdT-New_MN-Shoelovers_Benefit-Freebook_Itr-24w43-1-VD – Copy 5,WW (incl. list) | INT STACK | 18-65+ | FB Pixel | 1C1EV | 03.20,"$2,004","83,042",2025-03-20,2025-04-14,25
15,BB_SM_1678_AS_3-4_AdF-StS_1x1_L-US_25w06_Offer-Freebook - Copy,🫳 W21+ || WW || BB VV LLA1% || FrB || LP:Mix || Bl30d || 1C || 03.13 - Copy,"$1,963","85,262",2025-03-14,2025-04-10,27
16,BB_TT_418_L-US_SS_24_AdT-New_MN-Shoelovers_Benefit-Freebook_Itr-24w43-1-VD - Copy,W21+ || Top LTV || INT_Life extension || BL14d || 1C || 02.19,"$1,737","59,016",2025-02-19,2025-04-13,53
17,BB_GS_TT_181_22_MN-00_AdT-Combo_CH-60_ITR_GS7_GK5_VK1_VK1_VS-60_VK7_VK9_GS-Scr2_GS-H2_SS-60 - Copy,W21+ || 🌎 WW || BB vLLA1-5% || LP:Mix || Bl30d || 1C || 03.26,"$1,687","80,967",2025-03-26,2025-04-14,19
18,BBF_SM_141_SL_4_AdF-St_1x1_L-US_25w09_blog_bellybook_cv_en-Blog_Itr-132 | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,Tier 1 | Broad | 18-65+ | FB Pixel | 7C1V1E | 04.05,"$1,610","65,242",2025-04-05,2025-04-11,6
19,BB_GS_TT_95_1_MN-29-AMELIA_AdT-Testi_Dis-60 - Copy 2,W21+ || 🌎 WW || BB vLLA1-5% || LP:Mix || Bl30d || 1C || 03.26,"$1,606","133,287",2025-03-26,2025-04-14,19
20,BB_SM_1558_OS_1_AdF-St_1x1_L-US_24w49_Offer-Meetup_Extra20,581 | TOP3 | 50% + 20% | 1558,"$1,516","73,594",2024-12-05,2025-04-14,130
21,BB_SM_1749_VD_2_AdF-St_1x1_L-US_25w10_FREEBOOK-Offer_Itr-1678 - Copy 2,W21+ || TopC || BAU INT || LP:Mix || FrB Bl30d || 1C || 03.27,"$1,469","43,523",2025-03-27,2025-04-12,16
22,BBF_SM_141_SL_1_AdF-St_1x1_L-US_25w09_blog_bellybook_cv_en-Blog_Itr-132 | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,BBF_140_SL_25w11_Blog_Itr-108 | Batch #2 | blog_bellybook | LP:BB 575,"$1,435","39,365",2025-03-27,2025-04-10,14
23,BB_GS_TT_95_1_MN-29-AMELIA_AdT-Testi_Dis-60 - Copy 2,Manual W21+ || WW || BB vLLA 1% || BL14d || 1C || 01.31,"$1,431","107,417",2025-01-31,2025-04-13,72
24,BB_SM_1719_JM_3_AdF-Vid_9x16_L-US_25w08_FREEBOOK-Qbox_CTA-307 - Copy,🫳 W21+ || WW || BB VV LLA1% || FrB || LP:Mix || Bl30d || 1C || 03.13 - Copy,"$1,378","78,279",2025-03-13,2025-04-10,28
25,BB_SM_1687_OS_1_AdF-Vid_9x16_L-US_25w06_Adt-Combo_Ch-60_CTA-437_ItrTT-181_18_Extra30 - Copy,😏 || HV || TopC || LP:Mix || Bl14d || ASC || 1C || 02.26 Ad set,"$1,142","58,033",2025-02-26,2025-04-11,44
26,BBF_SM_140_SL_1_AdF-St_1x1_L-US_25w11_blog-Menopause40book-Blog_Itr-108 | Menopause: managing | And guess what? | LP:BB 575,BBF_141_SL_25w11_Blog_Itr-132 | Batch #1 | blog_menopause_cv_en | LP: BBF 575,"$1,138","37,840",2025-03-26,2025-04-10,15
27,BB_SM_1474_JM_1_AdF-Vid_9x16_L-US_24w46_Offer-Extra20_CTA-295 - Copy 2,Manual W21+ || WW || BB vLLA 1% || BL14d || 1C || 01.31,"$1,109","50,342",2025-02-06,2025-04-14,67
28,DF_3812_blog_hungerdrugbook_cv_en_BR_1080_1 | Dr. Lawson Answers | Dr. Lawson: I wish – Copy 8,Tier 1 | Broad | 18-65+ | FB Pixel | 7C1V1E | 04.05,"$1,091","24,906",2025-04-05,2025-04-12,7
29,BBF_SM_155_OS_3_AdF-St_1x1_L-US_25w13_blog_bellybook_cv_en-Blog_CTA-30_Itr-120 | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,BBF_155_OS_25w13_Blog_Itr-120 | blog_bellybook | LP:BB 575,"$1,091","29,935",2025-04-06,2025-04-14,8
30,BB_FB_1_BB_TT-FB_512_Justas_AdT-New_MN-Allieandnoah_Itr1 - Copy,W21+ || 🌎 WW || BB vLLA5-10% || LP:Mix || Bl30d || 1C || 03.26,"$1,085","46,957",2025-03-26,2025-04-14,19
31,BB_SM_1414_OS_2-3_AdF-St_9x16_L-US_24w44_Offer-Q4Q45_CTA-382_Itr-24w53-3-SL-NY-EXTRA20 - Copy,W20+ || TopC || INT || LP:Mix || Bl14d || 1C || 02.19,"$1,074","39,403",2025-02-19,2025-04-14,54
32,BB_FB_1105_VD_1_AdF-Vid_24w39_Testimonial-WeightLoss_CTA-14_Itr-24w39-10-10-OS - Copy,W20+ || TOP Eng || Free Book Pixel || INT || 1C || 03.07,"$1,056","27,960",2025-03-07,2025-04-11,35
33,BBF_SM_141_SL_4_AdF-St_1x1_L-US_25w09_blog_bellybook_cv_en-Blog_Itr-132 | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,WW (incl. list) | OPB | 18-65+ | FB Pixel | 7C1V | 04.03,"$1,041","23,068",2025-04-04,2025-04-11,7
34,BBF_SM_141_SL_4_AdF-St_1x1_L-US_25w09_blog_bellybook_cv_en-Blog_Itr-132_PG-Ruth_Lawson | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,"US,UK,CA | Broad | LP: BB 575 | Top Ads | Dr. Ruth Lawson | New Potential Winners","$1,026","52,283",2025-04-09,2025-04-11,2
