,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy 2,M25-64 || ALL || NEW || 1.04,"$4,108","143,117",2025-04-01,2025-04-14,13
2,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296 - Copy 2,M25-64 || ALL || NEW || 1.04,"$1,528","50,218",2025-04-01,2025-04-14,13
3,BBX_CHUB-AS_FB_196_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_ITR-V2_Itr-6 - Copy,US | BROAD | ALL | 1dc | 3MIX-3 | 04.07,"$1,367","29,067",2025-04-07,2025-04-14,7
4,BBX_180_25W11_AK_FB_IMG_1x1_NEW_UGC_body_Itr-1 - Copy 2,US | BROAD | ALL | 1dc | 3MIX-3 | 04.07,"$1,317","19,450",2025-04-07,2025-04-14,7
5,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc |  MIX 2 | 1.04,"$1,303","19,365",2025-04-01,2025-04-13,12
6,BBX_213_25W15_AK_FB_IMG_1x1_ITR_UGC_eastersale_Itr-2,ASC Easter 2025 || 25.4.10,"$1,027","19,267",2025-04-10,2025-04-14,4
7,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,"$1,019","21,112",2025-02-18,2025-04-14,55
8,BBX_191_25W12_AK_FB_IMG_1x1_ITR_UGC_manbody_Itr-3,CTEST 3.18 | W12 | B | BBX_191_25W12_AK_FB_IMG_1x1_ITR_UGC_manbody_Itr-1,$842,"15,913",2025-03-18,2025-04-14,27
9,BBX_190_25W12_AK_FB_IMG_1x1_ITR_Other_abs_Itr-2,CTEST 3.18 | W12 | B | BBX_190_25W12_AK_FB_IMG_1x1_ITR_Other_abs_Itr-1,$841,"13,616",2025-03-18,2025-04-14,27
10,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2,CTEST 2.26 | W9 | B | BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,$841,"9,625",2025-02-26,2025-04-14,47
