,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BB_2024_May_W20-TV_B1_071_FB_IMG_1x1_New_FBpost_with_BG_v1 | 411463955146524 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,"$1,910","52,926",2025-01-24,2025-02-17,24
2,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,"$1,346","29,762",2025-01-30,2025-02-13,14
3,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,"$1,189","27,795",2025-02-05,2025-02-18,13
4,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,"$1,125","24,877",2025-01-30,2025-02-17,18
5,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3 - Copy 2,US | BROAD | ALL | 1dc | MIX | 2.10,SHARE,$883,"15,824",2025-02-13,2025-02-16,3
6,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_gone_3,CTEST 1.28 | W5 | B | BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_gone_1,SHARE,$847,"17,956",2025-01-28,2025-03-01,32
7,BBX_2025_Feb_W6_OT_FB_VID_9x16_NEW_UGC_Andrew-B_Itr-377228,CTEST 2.04 | W6 | B | Andrew B 2,VIDEO,$833,"15,449",2025-02-04,2025-02-24,20
8,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3 - Copy,US | BROAD | ALL | 1dc | MIX | 2.10,SHARE,$829,"18,436",2025-02-10,2025-02-13,3
9,BBX_145_25W6_AK_FB_IMG_1x1_NEW_Product_valentinekit_Itr-2,ASC Valentines || 25.2.07,SHARE,$802,"20,196",2025-02-07,2025-02-13,6
10,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 2,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,$802,"16,072",2025-02-13,2025-02-15,2
11,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$797,"20,812",2025-02-12,2025-03-03,19
12,BBX_25W6_OT_FB_VID_9x16_NEW_UGC_Anna-B_Itr-377145,CTEST 2.07 | W6 | B | Anna B 1,VIDEO,$788,"8,722",2025-02-07,2025-03-02,23
13,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3,CTEST 2.06 | W6 | B | BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-1,SHARE,$766,"11,575",2025-02-06,2025-03-02,24
14,BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1,CTEST 2.06 | W6 | B | BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1_,SHARE,$754,"16,554",2025-02-06,2025-02-24,18
15,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,$713,"22,275",2025-02-05,2025-02-20,15
16,BBX_142_25W6_AK_FB_IMG_1x1_NEW_UGC_whiteredpost_Itr-3,CTEST 2.06 | W6 | B | BBX_142_25W6_AK_FB_IMG_1x1_NEW_UGC_whiteredpost_Itr-1,SHARE,$694,"10,688",2025-02-06,2025-02-16,10
17,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,$687,"14,524",2025-01-30,2025-02-17,18
18,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Disappear_2 - Copy,US | BROAD | ALL | 1dc | MIX | 2.10,SHARE,$595,"9,718",2025-02-10,2025-02-14,4
19,BBX_2025_Jan_W04_TV_B1_137_FB_VID_9x16_itr_Script1+script3_1 - Copy,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,$553,"7,534",2025-02-12,2025-02-16,4
20,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_1,CTEST 1.28 | W5 | B | BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_1,SHARE,$509,"12,644",2025-01-28,2025-02-16,19
21,BBX_149_25W7_AK_FB_IMG_1x1_NEW_UGC_ramadan_Itr-3,CTEST 2.12 | W7 | B | BBX_149_25W7_AK_FB_IMG_1x1_NEW_UGC_ramadan_Itr-1,SHARE,$499,"8,248",2025-02-12,2025-02-24,12
22,BBX_2025_Feb_W6_OT_FB_VID_9x16_NEW_UGC_Andrew-B_Itr-377228 - Copy 2,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,$482,"8,872",2025-02-14,2025-03-04,18
23,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3,CTEST 2.12 | W7 | B | BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1,VIDEO,$476,"8,367",2025-02-12,2025-03-04,20
24,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,$468,"9,344",2025-01-24,2025-03-26,61
25,BB_2024_May_W20-TV_B1_071_FB_IMG_1x1_New_FBpost_with_BG_v1 | 411463955146524 - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,$448,"16,066",2025-02-05,2025-02-13,8
26,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 3,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,$414,"6,574",2025-01-30,2025-02-13,14
27,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_itr_disappear_3,ASC Valentines || 25.2.07,SHARE,$408,"6,740",2025-02-07,2025-02-15,8
28,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_new_random_2,CTEST 1.31 | W5 | B | BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_new_random_1,SHARE,$405,"7,030",2025-02-03,2025-02-17,14
29,BBX_CHUB-AA_FB_152_F-IMG_R-1x1_EN_25WK07_P-none_I-Fasting-mistakesNEW_Itr-2,CTEST 2.13 | W7 | B | BBX_CHUB-AA_FB_152_F-IMG_R-1x1_EN_25WK07_P-none_I-Fasting-mistakesNEW_Itr-1,SHARE,$400,"9,898",2025-02-13,2025-02-20,7
30,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_canntgotogym_3,CTEST 1.28 | W5 | B | BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_canntgotogym_1,SHARE,$388,"8,600",2025-01-28,2025-02-13,16
31,BB_DG_35_VID_4x5_Fasting_V3 | 332851943007726 - Copy 2,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,$382,"5,565",2025-02-12,2025-02-14,2
32,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_new_random_3,CTEST 1.31 | W5 | B | BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_new_random_1,SHARE,$378,"6,976",2025-02-03,2025-02-17,14
33,BB_2024_May_W20-TV_B1_071_FB_IMG_1x1_New_FBpost_with_BG_v1 | 411463955146524 - Copy 2,US | Bioma & CB all time buyers | ALL | 7dc | BEST | 2.11,SHARE,$375,"10,579",2025-02-11,2025-02-14,3
34,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_itr_luckyday_2,ASC Valentines || 25.2.07,SHARE,$361,"5,073",2025-02-07,2025-02-15,8
35,BB_DG_35_VID_4x5_Fasting_V3 | 332851943007726 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,VIDEO,$350,"5,250",2025-01-24,2025-03-26,61
36,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_itr_disappear_1,ASC Valentines || 25.2.07,SHARE,$340,"5,850",2025-02-07,2025-02-14,7
37,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_3 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$336,"10,553",2025-02-12,2025-03-04,20
38,BB_2024_Apr_W16-TV_B2_064_FB_IMG_1x1_NEW_FUPA | 395261203433466 - Copy 2,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,$321,"7,733",2025-01-24,2025-02-14,21
39,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296 - Copy,US | BROAD | ALL | 7dc | MIX | 2.12,SHARE,$313,"8,961",2025-02-12,2025-02-14,2
40,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$302,"5,839",2025-02-12,2025-02-15,3
41,BBX_147_25W7_AK_FB_IMG_1x1_ITR_Product_box20lbs_Itr-3-2,CTEST 2.12 | W7 | B | BBX_147_25W7_AK_FB_IMG_1x1_ITR_Product_box20lbs_Itr-1,SHARE,$293,"6,227",2025-02-12,2025-02-16,4
42,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 3,US | BROAD | ALL | 7dc | MIX | 2.12,SHARE,$289,"6,041",2025-02-12,2025-02-14,2
43,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$270,"6,086",2025-02-12,2025-02-20,8
44,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 4,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$250,"4,193",2025-02-12,2025-02-19,7
45,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,$237,"5,651",2025-02-05,2025-02-20,15
46,BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-2-3,CTEST 2.12 | W7 | B | BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1,SHARE,$232,"5,585",2025-02-12,2025-02-20,8
47,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_3,CTEST 1.28 | W5 | B | BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_1,SHARE,$229,"7,341",2025-01-28,2025-02-12,15
48,BBX_CHUB-AA_FB_153_F-IMG_R-1x1_EN_25WK07_P-none_I-Size-downNEW_Itr-1,CTEST 2.13 | W7 | B | BBX_CHUB-AA_FB_153_F-IMG_R-1x1_EN_25WK07_P-none_I-Size-downNEW_Itr-1,SHARE,$229,"3,202",2025-02-13,2025-02-19,6
49,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495,CC110 || BEST ADS || 7dc || 24.6.3,SHARE,$226,"4,399",2024-06-03,2025-02-11,253
50,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 5,US | BROAD | ALL | 7dc | MIX | 2.12,SHARE,$211,"3,391",2025-02-12,2025-02-14,2
51,BBX_147_25W7_AK_FB_IMG_1x1_ITR_Product_box20lbs_Itr-2,CTEST 2.12 | W7 | B | BBX_147_25W7_AK_FB_IMG_1x1_ITR_Product_box20lbs_Itr-1,SHARE,$208,"3,194",2025-02-12,2025-02-21,9
52,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 5,US | BROAD | ALL | 7dc | MIX 2 | 2.14,SHARE,$207,"3,745",2025-02-14,2025-02-15,1
53,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$199,"4,262",2025-02-12,2025-03-04,20
54,BB_DB_NewYear_steps - Copy,US | BROAD | ALL | 1dc | MIX | 1.30,SHARE,$197,"4,017",2025-01-30,2025-02-19,20
55,BBX_145_25W6_AK_FB_IMG_1x1_NEW_Product_valentinekit_Itr-1,ASC Valentines || 25.2.07,SHARE,$197,"5,026",2025-02-07,2025-02-11,4
56,053_BB_TV_a-movie_Iteraionof_051_Kevin_2 | 368573906102196 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,$193,"6,123",2025-01-24,2025-03-26,61
57,BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-3,CTEST 2.12 | W7 | B | BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1,SHARE,$191,"3,979",2025-02-12,2025-02-16,4
58,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$189,"4,059",2025-02-12,2025-02-28,16
59,BBX_152_25W7_AK_FB_IMG_1x1_NEW_UGC_boxandtext_Itr-2,CTEST 2.14 | W7 | B | BBX_152_25W7_AK_FB_IMG_1x1_NEW_UGC_boxandtext_Itr-1,SHARE,$179,"3,059",2025-02-14,2025-02-16,2
60,BBX_2025_Jan_W05_TV_B2_139_FB_IMG_1x1_itr_disappear_2,ASC Valentines || 25.2.07,SHARE,$177,"2,763",2025-02-07,2025-02-15,8
61,BBX_2025_Feb_W6_OT_FB_VID_9x16_NEW_UGC_Andrew-B_Itr-377228 - Copy,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,$173,"3,688",2025-02-12,2025-02-14,2
62,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 2,US | Bioma & CB all time buyers | ALL | 7dc | BEST | 2.11,SHARE,$172,"2,815",2025-02-11,2025-02-14,3
63,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,$161,"4,472",2025-02-05,2025-02-20,15
64,BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-2,CTEST 2.13 | W7 | B | BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-1,SHARE,$160,"2,354",2025-02-13,2025-02-16,3
65,BBX_CHUB-AA_FB_153_F-IMG_R-1x1_EN_25WK07_P-none_I-Size-downNEW_Itr-3,CTEST 2.13 | W7 | B | BBX_CHUB-AA_FB_153_F-IMG_R-1x1_EN_25WK07_P-none_I-Size-downNEW_Itr-1,SHARE,$150,"2,961",2025-02-13,2025-02-15,2
66,BBX_145_25W6_AK_FB_IMG_1x1_NEW_Product_valentinekit_Itr-3,ASC Valentines || 25.2.07,SHARE,$149,"3,726",2025-02-07,2025-02-10,3
67,BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-1,CTEST 2.13 | W7 | B | BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-1,SHARE,$144,"2,295",2025-02-13,2025-02-17,4
68,BBX_2025_Feb_W7_CRO_FB_VID_9x16_NEW_UGC_Alexis-A_Itr-379890,CTEST 2.13 | W7 | B | BBX_2025_Feb_W7_CRO_FB_VID_9x16_NEW_UGC_Alexis-A_Itr-379888,VIDEO,$141,"1,801",2025-02-13,2025-02-17,4
69,BBX_143_25W6_AK_FB_IMG_1x1_NEW_UGC_challenge_Itr-2,CTEST 2.06 | W6 | B | BBX_143_25W6_AK_FB_IMG_1x1_NEW_UGC_challenge_Itr-1,SHARE,$131,"2,198",2025-02-06,2025-02-11,5
70,BB_DB_NewYear_steps - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$130,"2,543",2025-02-12,2025-03-03,19
71,BBX_152_25W7_AK_FB_IMG_1x1_NEW_UGC_boxandtext_Itr-3,CTEST 2.14 | W7 | B | BBX_152_25W7_AK_FB_IMG_1x1_NEW_UGC_boxandtext_Itr-1,SHARE,$124,"1,782",2025-02-14,2025-02-17,3
72,BBX_144_25W6_AK_FB_IMG_1x1_NEW_Product_allyouneed_Itr-1,CTEST 2.07 | W6 | B | BBX_144_25W6_AK_FB_IMG_1x1_NEW_Product_allyouneed_Itr-1,SHARE,$122,"1,989",2025-02-07,2025-02-18,11
73,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 | 399089086384011,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.05,SHARE,$121,"2,466",2025-02-05,2025-02-20,15
74,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear - Copy 2,US | Bioma & CB all time buyers | ALL | 7dc | BEST | 2.11,SHARE,$121,"2,813",2025-02-11,2025-02-13,2
75,BBX_2025_Feb_W7_CRO_FB_VID_9x16_NEW_UGC_Alexis-A_Itr-379891,CTEST 2.13 | W7 | B | BBX_2025_Feb_W7_CRO_FB_VID_9x16_NEW_UGC_Alexis-A_Itr-379888,VIDEO,$116,"1,738",2025-02-13,2025-02-16,3
76,BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1-1,CTEST 2.12 | W7 | B | BBX_148_25W7_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1,SHARE,$111,"2,359",2025-02-12,2025-02-19,7
77,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 3,US | BROAD | ALL | 7dc | MIX 2 | 2.14,SHARE,$102,"1,746",2025-02-14,2025-02-15,1
78,BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-3,CTEST 2.13 | W7 | B | BBX_150_25W7_AK_FB_IMG_1x1_NEW_UGC_madeinusa_Itr-1,SHARE,$100,"2,290",2025-02-13,2025-02-15,2
