,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BI_F-WL1584_2025_FB_IV_W3-1_937_IB_VID_VL-15s_9x16_New_HE-2688_BC-2028_CTA-1259_P-GLP1_M-TRACE_C-dosdonts_S-202_V01 || A31 || B119 || C1 || 2025.03.18,Bioma_ASC_LastTouch_1C_2025.02.17,VIDEO,"$40,150","899,504",2025-03-18,2025-05-05,48
2,BI_F-WL1566_2025_IV_W4-3_FB_1033_ER_IMG_9x16_Opti_933_HE-2673_BC-2014_S-Easter_C-RMR_Mix_V01 || A129 || B133 || C128,Broad || WL 60% - BB2885 || 1C || 2025.04.17,SHARE,"$19,551","874,604",2025-04-17,2025-05-03,16
3,BI_2025_IV_W3-4_FB_981_VJ_IMG_1x1_Opti_904_HIHE-285_HIBC-231_Green_blog_fhmenopausestory_cv_en_V09 || AA20 || BB26 || CC14,Feminine_Health_HealthInsider_CreativeTesting_ASC_1C_2025.03.27,SHARE,"$13,431","456,757",2025-03-27,2025-05-05,39
4,BI_F-WL0707_2025_AL_W2-3_FB_918_GR_VID_VL-25s_9x16_Opti_757_HE-2872_BC-863_M-AM_S-1_V09 || A1 || B81 || C1 || 2025.03.18,Bioma_ASC_1C_Videos_Only_2025.02.22,VIDEO,"$11,190","172,557",2025-03-18,2025-05-02,45
5,BI_2025_IV_W4-3_FB_1029_MB_IMG_9x16_Opti_901_HIHE-307_HIBC-251_blog_cortisoldetox_cv_en_V09 || A108 || B111 || C101 || 2025.04.26,HealthInsider_ASC_1C_2024.12.30,SHARE,"$11,009","431,038",2025-04-26,2025-05-05,9
6,BI_F-WL0041_2025_IV_W4-3_FB_1033_ER_IMG_9x16_Opti_HE-989_BC-2558_CTA-1503_P-CD_S-Easter_C-RMR_M-NONE_Green_C-food_V1 || A129 || B133 || C128,Broad || WL 60% - BB2884 || 1C || 2025.04.17,SHARE,"$7,068","179,447",2025-04-17,2025-05-03,16
7,BI_2025_IV_W3-4_FB_983_MB_IMG_1x1_Opti_919_HIHE-269_HIBC-220_Blue_blog_fhpersonalstoryuptd_cv_en_V01 || AA17 || BB23 || CC13 || 2025.04.04,P2PWASCBM_Feminine_Health_HI_ASC_BAU_2025.04.04,SHARE,"$6,615","364,725",2025-04-04,2025-05-05,31
8,BI_F-WL0798_2025_IV_W4-3_FB_1028_VK_IMG_1x1_Opti_797_HE-3290_BC-2560_CTA-1493_S-easter_V01 || A129 || B132 || C127,Broad || WL 60% - BB2881 || 1C || 2025.04.17,SHARE,"$5,483","201,662",2025-04-17,2025-04-30,13
9,BI_F-WL0798_2025_IV_W4-3_FB_1028_VK_IMG_1x1_Opti_797_HE-3290_BC-2560_CTA-1493_S-easter_V01 || A129 || B132 || C127,Bioma_Easter_2025_ASC_1C_2025.04.18,SHARE,"$4,909","227,603",2025-04-18,2025-05-02,14
10,BI_F-WL1498_2025_IV_W2-2_FB_905_GR_VID_VL-45s_9x16_New_HE-2618_BC-1944_CTA-1231_P-CD_M-TRACEwHUSBAND_White_C-livenads_S-257_V13 || A1 || B119 || C1 || D1 || 2025.02.25,Bioma_VariousLLA_7C_2025.02.21,VIDEO,"$4,418","93,298",2025-02-25,2025-04-29,63
