,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,CB_2025_Jan_FB_3750_LZ-VU_V05_4x5_IMG_EN_Opti_C-NegativeMark_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-NONE_S-NONE_FB3251V01,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,SHARE,"$17,940","546,262",2025-01-24,2025-01-30,6
2,CB_2025_Jan_FB_3750_LZ-VU_V03_4x5_IMG_EN_Opti_C-NegativeMark_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-NONE_S-NONE_FB3251V01,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,SHARE,"$16,138","604,809",2025-01-24,2025-02-07,14
3,CB_2024_Aug_FB_3097_VK-DP_V03_9x16_VID_EN_Opti_C-Benefits_CTA-SMR_Pain-W-B_M-MIX_VL-45s_TR-None_G-MF_P-OG_S-WHAT_FB2516V13,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$14,031","729,488",2024-09-04,2025-03-27,204
4,Dynamic_Creative_CA_Flow,WC || CA || DYNAMIC CREATIVE || ADV+ audience || 7C || 17.04.2024 || BIG BUDGET,SHARE,"$12,556","740,983",2024-04-17,2025-02-27,316
5,CB_2023_Jul_FB_2217_IB_V04_9x16_VID_EN_Opti_C-Pointing_CTA-SMR_Pain-W-B_M-TRC_VL-30s_TR-None_G-F_P-None_S-FRIGGA,ASC+ || VIDEO Only || US || 0% EXISTING CAP || 1C || 08.12.24  Ad set,VIDEO,"$8,901","253,219",2024-12-08,2025-02-05,59
6,CB_2025_Jan_FB_3736_LZ-VU_V01_4x5_IMG_EN_Opti_C-NegativeMark_Evergreen_CTA-NONE_Angle-Cort_M-NONE_VL-None_G-NONE_P-NONE_S-NONE_FB3251V01,CBV2 || US || Manual Bid: ROAS GOAL: 0.9 -> 1.00 || 7DC || 22/01/2025,SHARE,"$6,469","210,701",2025-01-22,2025-02-14,23
7,CB_2024_Nov_FB_3264_LZ_V31_4x5_VID_EN_Opti_C-MakingOf_Sale_CTA-BF_Angle-W-B_M-CRAZY_VL-45s_G-M_P-OG_S-NEW_FB3004V02,ASC+ || VIDEO Only || US || 0% EXISTING CAP || 1C || 08.12.24  Ad set,VIDEO,"$5,297","199,984",2024-12-08,2025-02-05,59
8,CB_2024_Jul_FB_3043_VK-DP_V03_9x16_VID_EN_Opti_C-Dance_CTA-SMR_Pain-W-B_M-POW_VL-30s_TR-None_G-M_P-OG_S-WHAT_FB3030V01,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$5,206","293,758",2024-08-27,2025-03-03,188
9,CB_2023_Apr_FB_1989_RS_V08_9x16_VID_EN_Opti_C-Trend_CTA-SMR_Pain-W_M-MIX_VL-30s_TR-None_G-MF_P-None,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$5,046","299,135",2024-08-07,2025-03-24,229
10,CB_2024_Aug_FB_3090_DT-DP_V02_9x16_VID_EN_Opti_C-MakingOf_CTA-CTA_Pain-W-B-C_M-POW_VL-45s_TR-None_G-M_P-OG_S-Moon_FB3029V04,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$4,859","192,890",2025-01-17,2025-03-03,45
11,CB_2023_Jul_FB_2217_IB_V04_9x16_VID_EN_Opti_C-Pointing_CTA-SMR_Pain-W-B_M-TRC_VL-30s_TR-None_G-F_P-None_S-FRIGGA,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$3,844","164,489",2024-08-07,2025-03-27,232
12,CB_2025_Jan_FB_3656_JT_V02_4x5_IMG_EN_New_C-Headline_Seasonal_CTA-70_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,SHARE,"$3,067","142,475",2025-01-13,2025-03-04,50
13,CB_2025_Jan_FB_3726_LZ-JG_V01_4x5_IMG_EN_Opti_C-Headline_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE_FB3357V01,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,SHARE,"$3,004","170,516",2025-01-27,2025-02-03,7
14,CB_2024_Sep_FB_3175_DA-KB_V04_1x1_IMG_EN_New_C-ADVRT_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-CBV2_S-NONE_blog_colonbroomvsmammoth_cv_en,CBV2 || Advantage+ || Advertorial || Higher pricing || US || 0% EXISTING CAP || BROAD || 7C || 20/01/25  Campaign Ad set,SHARE,"$2,280","84,235",2025-01-20,2025-03-27,66
15,CB_2023_Apr_FB_1989_RS_V08_9x16_VID_EN_Opti_C-Trend_CTA-SMR_Pain-W_M-MIX_VL-30s_TR-None_G-MF_P-None,ASC+ || VIDEO Only || US || 0% EXISTING CAP || 1C || 08.12.24  Ad set,VIDEO,"$2,221","103,958",2025-01-30,2025-02-05,6
16,CB_2024_Jan_FB_2764_RS_V04_9x16_VID_EN_Opti_C-SingleTesti_CTA-SALE_Pain-W_M-TRC_VL-45s_TR-None_G-F_P-OG_S-MOON_FB2263V04,EU (UK) || 2764 || Trinity Results Too Fast || 1C || 08/01/2025w02,VIDEO,"$1,999","85,046",2025-01-08,2025-03-27,78
17,CB_2025_Jan_FB_3705_VK_V02_4x5_IMG_EN_New_C-BulletPoints_Sale_CTA-NY_Angle-W-B-C_M-NONE_VL-None_G-NONE_P-OG_S-NONE,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,SHARE,"$1,916","112,561",2025-01-30,2025-02-19,20
18,CB_2024_Feb_FB_2812_MB-RP_V07_9x16_VID_EN_Opti_C-Sale_CTA-C65_Pain-W_M-NONE_VL-30s_TR-None_G-MF_P-Plan_S-NEW_FB2601V04_1,ASC+ || VIDEO Only || US || 0% EXISTING CAP || 1C || 08.12.24  Ad set,VIDEO,"$1,915","70,847",2024-12-19,2025-02-05,48
19,CB_2024_Dec_FB_3608_LZ-DP_V03_4x5_IMG_EN_New_C-Headline_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE,3608 - CB_IMG_ notion #17 hypnosis || Enhancements: OFF || CBV1 || Batch 1 || 1C || 13/01/25w03 || Kostas,SHARE,"$1,888","85,825",2025-01-13,2025-02-03,21
20,CB_2023_Jul_FB_2226_MB_V04_9x16_VID_EN_Opti_C-Testim_CTA-SMR_Pain-W_M-MIX_VL-30s_TR-None_G-F_P-None_S-Starry,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,VIDEO,"$1,881","80,126",2024-10-28,2025-03-27,150
21,CB_2025_Jan_FB_3736_LZ-VU_V01_4x5_IMG_EN_Opti_C-NegativeMark_Evergreen_CTA-NONE_Angle-Cort_M-NONE_VL-None_G-NONE_P-NONE_S-NONE_FB3251V01,EU (UK) ||  EU adaptation || 3736 - Bioma ripoff march opti || 1C || 21/01/2025w04,SHARE,"$1,825","88,130",2025-01-21,2025-02-04,14
22,CB_2023_May_FB_2263_MB_V04_9x16_VID_EN_New_C-Sale_CTA-SMR_Pain-W_M-JOG_VL-45s_TR-None_G-M-F_P-None_S-Moon,💰WC || US || Advantage+ || BIG BUDGET || CC101->105->109->112->114-116->117 || BROAD || ABO || 1C || 17/01/24 RELAUNCHED Ad set,VIDEO,"$1,754","47,207",2024-01-17,2025-02-06,386
23,CB_2025_Jan_FB_3726_LZ-JG_V01_4x5_IMG_EN_Opti_C-Headline_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE_FB3357V01,3726 - domperignon opti || Enhancements: OFF || CBV1 || Batch 1 || 7C || 22/01/25w04,SHARE,"$1,608","60,342",2025-01-22,2025-02-03,12
24,CB_2023_Aug_FB_2295_MB_V01_1x1_VID_EN_Opti_C-GIF_CTA-CTA_Pain-W-B_M-None_VL-10s_TR-None_G-None_P-None_S-None,CA || COST CAP 92->93 || 7C || 10/05/24 || V1,VIDEO,"$1,523","80,488",2024-05-10,2025-02-27,293
25,CB_2024_Jan_FB_2764_RS_V04_9x16_VID_EN_Opti_C-SingleTesti_CTA-SALE_Pain-W_M-TRC_VL-45s_TR-None_G-F_P-OG_S-MOON_FB2263V04_Page_Personal_Coach,AU || Page: Branded & 3rd Party || 2764 || Trinity Results Too Fast || 1C || 10/01/2025w02,VIDEO,"$1,426","35,489",2025-01-10,2025-03-27,76
26,CB_2025_Jan_FB_3072_V01_4x5_IMG_EN_New_C-Headline_Seasonal_CTA-None_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE,AU || Fixed || 3072 EU adaptations || 1C || 20/01/2025w04,SHARE,"$1,388","46,110",2025-01-22,2025-02-14,23
