,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,CB_2025_Feb_FB_3883_LZ-RP_V05_9x16_VID_EN_Opti_C-BulletPoints_Evergreen_CTA-SALE_Angle-W_M-JANW_VL-30s_G-M_P-OG_S-WHAT_FB2284V05,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$26,961","1,381,278",2025-03-28,2025-04-14,17
2,CB_2025_Mar_FB_3914_DT-DP_V01_9x16_VID_EN_New_C-Trend_Sale_CTA-SPRNG_Angle-W-B-C_M-JOG_VL-30s_G-F_P-OG_S-NEW,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$9,055","422,284",2025-03-28,2025-04-14,17
3,CB_2023_Dec_FB_2712_RS-DP_V02_1x1_VID_EN_Opti_C-WrittenTesti_CTA-SALE_Pain-W-B-C_M-NONE_VL-None_TR-None_G-NONE_P-V2_S-NONE_FB2227V08,CBV2 || EU (UK) || 💰 Advantage+ || US || BROAD || 7C || Existing_customer_5% || 15/12/24 Ad set,"$6,797","429,543",2025-03-31,2025-04-14,14
4,CB_2025_Mar_FB_3890_DT_V04_1x1_IMG_EN_New_C-NONE_Evergreen_CTA-None_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$6,566","404,332",2025-03-31,2025-04-12,12
5,Dynamic_Creative_Statics_CA_Flow,WC || CA || DYNAMIC CREATIVE Static winners || ADV+ audience || 7C || 16.02.2025,"$6,298","461,036",2025-02-16,2025-04-14,57
6,CB_2025_Mar_FB_3907_CHUB-AA_V03__IMG_EN_Opti_C-Price_CTA-NONE_Angle-None_M-NONE_VL-None_TR-None_G-NONE_P-OG_S-NONE,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$6,267","256,646",2025-03-25,2025-04-14,20
7,CB_2025_Mar_FB_3907_CHUB-AA_V03__IMG_EN_Opti_C-Price_CTA-NONE_Angle-None_M-NONE_VL-None_TR-None_G-NONE_P-OG_S-NONE,CA || ASC+ || 0% EXISTING || 7DC || 18.03.2025,"$6,116","404,007",2025-03-27,2025-04-14,18
8,CB_2023_Jul_FB_2217_IB_V04_9x16_VID_EN_Opti_C-Pointing_CTA-SMR_Pain-W-B_M-TRC_VL-30s_TR-None_G-F_P-None_S-FRIGGA,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$5,944","203,750",2024-08-07,2025-04-14,250
9,CB_2025_Mar_FB_3910_LZ-DP_V04_9x16_VID_EN_Opti_C-Testimonial_Evergreen_CTA-NONE_Angle-W_M-TRC_VL-15s_G-F_P-TRIAL_S-FRIGGA_FB2217V04.mp4,US || Free trial offer || Trial ads || Trial purchase || 7C || 19/03/25,"$5,610","141,750",2025-03-19,2025-04-14,26
10,CB_2025_Feb_FB_3883_LZ-RP_V05_9x16_VID_EN_Opti_C-BulletPoints_Evergreen_CTA-SALE_Angle-W_M-JANW_VL-30s_G-M_P-OG_S-WHAT_FB2284V05,CA || ASC+ || 0% EXISTING || 7DC || 18.03.2025,"$5,107","456,070",2025-03-27,2025-04-14,18
11,CB_2025_Feb_FB_3827_LZ_V01_1x1_IMG_EN_Opti_C-Headline_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-M_P-CBV2_S-NONE_FB3723V04,CBV2 || US || Manual Bid: ROAS GOAL: 1.00 -> 1.1 || 7DC || 22/01/2025,"$4,963","208,176",2025-02-18,2025-04-14,55
12,CB_2024_Sep_FB_3175_DA-KB_V04_1x1_IMG_EN_New_C-ADVRT_Evergreen_CTA-NONE_Angle-W_M-NONE_VL-None_G-NONE_P-CBV2_S-NONE_blog_colonbroomvsmammoth_cv_en,CBV2 || UK || Advantage+ || Advertorial |  || 0% EXISTING CAP || BROAD || 7C || ad set 18/03/25,"$4,534","184,668",2025-03-18,2025-04-14,27
13,CB_2025_Feb_FB_3827_LZ_V04_1x1_IMG_EN_Opti_C-Headline_Evergreen_CTA-SALE_Angle-W_M-NONE_VL-None_G-M_P-CBV2_S-NONE_FB3779V02,CBV2 || US || Manual Bid: ROAS GOAL: 1.00 -> 1.1 || 7DC || 22/01/2025,"$4,485","152,299",2025-02-18,2025-04-14,55
14,CB_2025_Mar_FB_3914_DT-DP_V01_9x16_VID_EN_New_C-Trend_Sale_CTA-SPRNG_Angle-W-B-C_M-JOG_VL-30s_G-F_P-OG_S-NEW,CA || ASC+ || 0% EXISTING || 7DC || 18.03.2025,"$3,793","277,771",2025-04-01,2025-04-14,13
15,CB_2025_Feb_FB_3883_LZ-RP_V05_9x16_VID_EN_Opti_C-BulletPoints_Evergreen_CTA-SALE_Angle-W_M-JANW_VL-30s_G-M_P-OG_S-WHAT_FB2284V05,3883 - Wiiner opti man boobs t levels || Enhancements: OFF || CBV1 || Batch 1 || 7C || 10/03/25w11,"$3,474","194,915",2025-03-10,2025-04-14,35
16,CB_2025_Mar_FB_3904_DT_V01_9x16_VID_EN_New_C-Trend_Evergreen_CTA-NONE_Angle-W_M-MIX_VL-30s_G-MF_P-OG_S-New,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$3,072","135,999",2025-03-28,2025-04-14,17
17,CB_2025_Feb_FB_3883_LZ-RP_V05_9x16_VID_EN_Opti_C-BulletPoints_Evergreen_CTA-SALE_Angle-W_M-JANW_VL-30s_G-M_P-OG_S-WHAT_FB2284V05,CBV2 || AU || 💰 Advantage+ || US || BROAD || 7C || Existing_customer_5% || 19/12/24 Ad set,"$3,028","182,483",2025-03-28,2025-04-14,17
18,CB_2025_Mar_FB_3914_DT-DP_V01_9x16_VID_EN_New_C-Trend_Sale_CTA-SPRNG_Angle-W-B-C_M-JOG_VL-30s_G-F_P-OG_S-NEW,CBV2 || EU (UK) || 💰 Advantage+ || US || BROAD || 7C || Existing_customer_5% || 15/12/24 Ad set,"$3,016","172,378",2025-04-01,2025-04-14,13
19,CB_2025_Mar_FB_3914_DT-DP_V01_9x16_VID_EN_New_C-Trend_Sale_CTA-SPRNG_Angle-W-B-C_M-JOG_VL-30s_G-F_P-OG_S-NEW,US || Kilo Product's leads LAL || 7C || 04/03/25,"$2,846","82,362",2025-04-06,2025-04-14,8
20,CB_2025_Mar_FB_3890_DT_V02_1x1_IMG_EN_New_C-NONE_Evergreen_CTA-None_Angle-W_M-NONE_VL-None_G-NONE_P-OG_S-NONE,🌶️ || US || ASC+ || ->CC141 || VIDEO Only || US+CA || 0% EXISTING CAP || 7C || 07/08.24  Ad set,"$2,840","118,453",2025-03-15,2025-04-10,26
21,CB_2025_Feb_FB_3827_LZ_V03_1x1_IMG_EN_Opti_C-Headline_Evergreen_CTA-SALE_Angle-W_M-NONE_VL-None_G-M_P-CBV2_S-NONE_FB3705V02,3827 - V2 img winner opti || Batch 2 || 7C || 18/02/2025w08,"$2,809","115,009",2025-02-18,2025-04-14,55
