,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,CH_MPS_FB_1162_IMG_EN_C-Artery_H-1057_T-1_Itr_W04_V4 | Hypertension | Engineered,All | 18+ | TOP2,$730,"36,256",2025-04-11,2025-04-13,2
2,CH_MPS_FB_1159_IMG_EN_C-Artery_H-1056_T-615_W03_V1 | Hypertension | Engineered | LP: cardi.health/home,Broad | 18+ | All | TOP3 | Facebook Pixel | 1DC,$704,"42,534",2025-04-11,2025-04-14,3
3,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V2 | Hypertension | Engineered | LP: cardi.health/home | FB: Cardi,US | Broad | 60+ | W | 7DC1DV,$582,"16,642",2025-04-09,2025-04-14,5
4,CH_MPS_FB_1198_IMG_EN_C-Animation_H-1083_T-923_W15_V7 | 28-Day Plan | Engineered,CH_MPS_FB_1198_IMG_EN_C-Animation_H-1083_T-923_W15_V7 | WK15,$490,"24,372",2025-04-10,2025-04-14,4
5,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered,Cardi Leads - Non Buyers | All 18+ || CpR,$452,"8,778",2025-03-10,2025-04-13,34
6,CH_RK_FB_1200_IMG_EN_C-DashDiet_H-1083_T-926_W15_V3 | Hypertension | Engineered,All | 18+ | TOP2,$402,"13,070",2025-04-11,2025-04-12,1
7,CH_RK_FB_1175_IMG_EN_C-DashDiet_H-1065_T-923_W07_V3 | Hypertension | Engineered | LP: cardi.health/home,All | 18+ | TOP2,$385,"13,810",2025-04-11,2025-04-14,3
8,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered,US | Broad | 18+ | W | 1DC | CpR | Batch 2,$369,"6,644",2025-03-06,2025-04-13,38
9,CH_RK_FB_1160_IMG_EN_C-MDads_H-1040_W03_V2 | Hypertension | Engineered | LP: cardi.health/home,All | 18+ | TOP2,$359,"13,333",2025-04-12,2025-04-13,1
10,CH_LA_FB_1197_IMG_EN_C-iterations_H-1083_T-926_Itr_W14_V1 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,CH_LA_FB_1197_IMG_EN_C-iterations_H-1083_T-926_Itr_W14_V1 | WK14,$359,"15,827",2025-04-04,2025-04-11,7
