,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,HB_AK_FB_416_F-IMG_R-9x16_EN_24WK05_P-MC_Saleclean_Itr-3 | H-R0-3 | B-R0-6 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Menopause Reset FB Page | 02.28,"$4,137","113,995",2025-03-18,2025-04-14,27
2,HB_80_MagazineLayout_IMG_1x1_3 | Up to 60% OFF | Tired of menopause weight gain | LP: herbodhi,US | All | 25-65+ | 1c | Broad | 03.14,"$3,453","99,624",2025-03-14,2025-04-14,31
3,HB_80_MagazineLayout_IMG_1x1_3 | Up to 60% OFF | Tired of menopause weight gain | LP: herbodhi,US | W | 40-65+ | 1c | Broad | CC $90 | 02.05,"$3,383","83,714",2025-01-13,2025-04-14,91
4,HB_CHUB_FB_350_F-IMG_R-1x1_EN_24WK53_P-MC_I-FBpostOpti_Itr-3 | H-R0-3 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,"$2,908","85,070",2025-04-02,2025-04-14,12
5,HB_AK_FB_416_F-IMG_R-9x16_EN_24WK05_P-MC_Saleclean_Itr-3 | H-R0-3 | B-R0-6 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | ASC+ | No Cap | VO | 03.14,"$2,444","59,351",2025-04-04,2025-04-14,10
6,HB_VV_FB_517_F-IMG_R-1x1_EN_25w11_P-MC_lastproduct_Itr-2 | H-R0-1 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,"$2,116","41,065",2025-03-18,2025-04-14,27
7,HB_AK_FB_524_F-IMG_R-1x1_EN_25w12_P-MC_blog_cortisolsupp_cv_en_Itr3 | H-B22-1 | B-B22-1 | LP: blog_cortisolsupp,US | All | 25-65+ | 1c | Broad | 03.14v2,"$1,971","78,644",2025-03-28,2025-04-14,17
8,HB_AK_FB_513_F-IMG_R-1x1_EN_25w11_P-MC_mixup_Itr-4 | H-R0-1 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,"$1,907","42,956",2025-03-31,2025-04-14,14
9,HB_VV_FB_554_F-IMG_R-1x1_EN_25w14_P-MC_I-blog_cortisolsupp_cv_en_itr-6 | H-B22-3 | B-B22-2 | LP: blog_cortisolsupp,US | All | 25-65+ | 1c | Broad | 03.14v2,"$1,802","73,485",2025-04-07,2025-04-14,7
10,HB_CHUB-AA_FB_400_F-IMG_R-1x1_EN_25WK04_P-MC_I-FBpostOpti-V3_Itr-1 | H-R0-3 | B-R2-4 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Interests | x1 | 03.25,"$1,421","33,801",2025-04-09,2025-04-14,5
11,HB_CHUB-AS_FB_557_F-VID_R-9x16_EN_25w14_P-MC_I-NewUGCVideos_itr-4 | H-R0-1 | B-R0-5 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,"$1,418","38,754",2025-04-07,2025-04-14,7
12,HB_VV_FB_343_F-IMG_R-1x1_EN_24WK52_P-MC_I-christmasframe_Itr-2 | H-R0-3 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | ASC+ | No Cap | 03.14,"$1,352","32,633",2025-03-27,2025-04-14,18
13,HB_CHUB-AS_FB_557_F-VID_R-9x16_EN_25w14_P-MC_I-NewUGCVideos_itr-1 | H-R0-3 | B-R21-1 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Menopause Reset FB Page | 02.28,"$1,337","40,070",2025-04-08,2025-04-14,6
14,HB_VV_FB_344_F-IMG_R-1x1_EN_24WK52_P-MC_I-announcement_Itr-1 | H-R0-5 | B-R13-1 | LP: herbodhi,US | W | 40-65+ | 7c | Broad | ASC+ | No Cap | 03.14,"$1,242","21,506",2025-03-27,2025-04-14,18
15,HB_AK_FB_513_F-IMG_R-1x1_EN_25w11_P-MC_mixup_Itr-4 | H-R0-1 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,"$1,105","29,289",2025-04-07,2025-04-14,7
16,HB_VV_FB_258_F-IMG_R-1x1_EN_24WK47_P-MC_I-typecards_Itr-3 | H-R0-2 | B-R10-3 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,"$1,092","28,087",2025-04-02,2025-04-14,12
17,HB_VV_FB_517_F-IMG_R-1x1_EN_25w11_P-MC_lastproduct_Itr-1 | H-R0-1 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 517_lastproduct | W14,$917,"24,794",2025-03-31,2025-04-14,14
18,HB_AK_FB_513_F-IMG_R-1x1_EN_25w11_P-MC_mixup_Itr-4 | H-R0-1 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Interests | x1 | 03.25,$917,"21,175",2025-03-31,2025-04-10,10
19,HB_AK_FB_513_F-IMG_R-1x1_EN_25w11_P-MC_mixup_Itr-3 | H-R0-1 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 513_mixup #2 | W11,$886,"25,257",2025-03-13,2025-04-14,32
20,HB_AK_FB_524_F-IMG_R-1x1_EN_25w12_P-MC_blog_cortisolsupp_cv_en_Itr-2 | H-B22-1 | B-B22-1 | LP: blog_cortisolsupp,US | All | 25-65+ | 1c | Broad | 03.14v2,$886,"38,591",2025-03-22,2025-04-14,23
21,HB_VV_FB_517_F-IMG_R-1x1_EN_25w11_P-MC_lastproduct_Itr-2 | H-R0-1 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | ASC+ | No Cap | 03.14,$879,"17,492",2025-03-16,2025-04-14,29
22,HB_CHUB-AS_FB_557_F-VID_R-9x16_EN_25w14_P-MC_I-NewUGCVideos_itr-1 | H-R0-3 | B-R21-1 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | FB Page: Women's Hormone Health Guide | 01.15,$877,"26,525",2025-04-08,2025-04-14,6
23,HB_AK_FB_547_F-IMG_R-1x1_EN_25w13_P-MC_blog_parasite_cv_en_Itr-2 | H-B16-4 | B-B16-11 | LP: blog_parasite,US | W | 40-65+ | 7c | Broad | Advertorial | 547_blog_parasite | W13,$818,"28,694",2025-03-29,2025-04-14,16
24,HB_AK_FB_524_F-IMG_R-1x1_EN_25w12_P-MC_blog_cortisolsupp_cv_en_Itr3 | H-B22-1 | B-B22-1 | LP: blog_cortisolsupp,US | W | 40-65+ | 7c | Broad | Advertorial | 524_blog_cortisolsupp | W12,$816,"26,905",2025-03-20,2025-04-14,25
25,HB_VV_FB_517_F-IMG_R-1x1_EN_25w11_P-MC_lastproduct_Itr-2 | H-R0-1 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 517_lastproduct | W11,$816,"18,746",2025-03-14,2025-04-14,31
26,HB_VV_FB_343_F-IMG_R-1x1_EN_24WK52_P-MC_I-christmasframe_Itr-2 | H-R0-2 | B-R11-2 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,$775,"14,636",2025-03-06,2025-04-14,39
