,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,HB_AK_FB_385_F-IMG_R-1x1_EN_24WK03_P-MC_I-Blog_experiment_cv_en_Itr-3 | H-B8-2 | B-B8-5 | LP: blog_experiment,US | W | 40-65+ | 7c | Broad | ASC+ | 10.28,SHARE,"$7,030","122,942",2025-01-20,2025-01-27,7
2,HB_VV_FB_323_F-IMG_R-1x1_EN_24WK51_P-MC_I-announcement_Itr-1 | H-R0-5 | B-R13-1 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,SHARE,"$5,219","104,633",2024-12-27,2025-02-20,55
3,HB_CHUB_FB_350_F-IMG_R-1x1_EN_24WK53_P-MC_I-FBpostOpti_Itr-2 | H-R0-5 | B-R0-6 | LP: herbodhi,US | W | 40-65+ | 1c | Interests | x1 | 01.31,SHARE,"$4,807","107,399",2025-01-12,2025-02-11,30
4,HB_VV_FB_343_F-IMG_R-1x1_EN_24WK52_P-MC_I-christmasframe_Itr-2 | H-R0-2 | B-R11-2 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | x3 | 02.11,SHARE,"$4,785","87,129",2025-01-08,2025-02-04,27
5,HB_CHUB_FB_350_F-IMG_R-1x1_EN_24WK53_P-MC_I-FBpostOpti_Itr-3 | H-R0-3 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | x3 | 02.04,SHARE,"$4,534","100,904",2025-01-22,2025-02-20,29
6,HB_80_MagazineLayout_IMG_1x1_3 | H-R0-3 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | FB Page: Women's Hormone Health Guide | 01.15,SHARE,"$3,661","81,610",2025-01-15,2025-03-19,63
7,HB_BR_FB_103_F-IMG_R-1x1_EN_24WK33_P-MC_I-blog_blueprint_H-B9-6_B-B9-5_Itr-1 | H-B9-3 | H-B9-5 | LP: blog_blueprint,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,SHARE,"$3,407","46,603",2025-01-08,2025-01-30,22
8,HB_AK_FB_385_F-IMG_R-1x1_EN_24WK03_P-MC_I-Blog_experiment_cv_en_Itr-3 | H-B8-2 | B-B8-5 | LP: blog_experiment,US | W | 40-65+ | 1c | Broad | ASC+ | VO,SHARE,"$3,271","58,879",2025-01-22,2025-01-26,4
9,HB_CH_FB_292_F-IMG_R-9x16_EN_24WK49_P-MC_I-X-mas-Sale-Clean_Itr-1 | H-R0-5 | B-R5-3 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,SHARE,"$3,091","53,415",2024-12-27,2025-02-21,56
10,HB_KZ_FB_251_F-VID_R-9x16_EN_24WK47_P-MC_I-UGCitalianBF_Itr-1 | H-R0-2 | B-R10-1 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,VIDEO,"$2,385","29,126",2024-12-27,2025-02-07,42
11,HB_VV_FB_343_F-IMG_R-1x1_EN_24WK52_P-MC_I-christmasframe_Itr-2 | H-R0-2 | B-R11-2 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | x3 | 02.04,SHARE,"$2,379","38,565",2025-01-11,2025-01-22,11
12,HB_AK_FB_385_F-IMG_R-1x1_EN_24WK03_P-MC_I-Blog_experiment_cv_en_Itr-3 | H-B8-2 | B-B8-5 | LP: blog_experiment,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,SHARE,"$2,068","33,382",2025-01-22,2025-01-26,4
13,HB_80_MagazineLayout_IMG_1x1_3 | Up to 60% OFF | Tired of menopause weight gain | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | VO,SHARE,"$1,311","25,681",2025-01-08,2025-01-22,14
14,HB_80_MagazineLayout_IMG_1x1_2 | Up to 60% OFF | Tired of menopause weight gain | LP: herbodhi,US | W | 40-65+ | 1c | Broad | x3 | 02.11,SHARE,"$1,189","25,884",2025-01-08,2025-01-26,18
15,HB_VV_FB_343_F-IMG_R-1x1_EN_24WK52_P-MC_I-christmasframe_Itr-2 | H-R0-3 | B-R5-2 | LP: herbodhi,US | W | 40-65+ | 7c | Broad | Headline Test | H-R0-3,SHARE,"$1,158","14,815",2025-01-09,2025-01-27,18
16,HB_VV_FB_281_F-VID_R-1x1_EN_24WK48_P-MC_I-Christmas_Itr-1 | H-R0-2 | B-R11-1 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | x3 | 02.11,SHARE,"$1,021","17,445",2025-01-08,2025-01-31,23
17,HB_VV_FB_258_F-IMG_R-1x1_EN_24WK47_P-MC_I-typecards_Itr-3 | H-R0-2 | B-R10-3 | LP: herbodhi,US | W | 40-65+ | 7c | Broad | ASC+ | 10.28,SHARE,"$1,016","22,526",2025-01-20,2025-01-27,7
18,HB_AK_FB_385_F-IMG_R-1x1_EN_24WK03_P-MC_I-Blog_experiment_cv_en_Itr-3 | H-B8-2 | B-B8-5 | LP: blog_experiment,US | W | 40-65+ | 7c | Broad | Advertorial | 385_blog_experiment | W03,SHARE,$966,"17,156",2025-01-16,2025-01-26,10
19,HB_VV_FB_344_F-IMG_R-1x1_EN_24WK52_P-MC_I-announcement_Itr-1 | H-R0-5 | B-R13-1 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | ASC+ | CAP 5% | CC3k | 11.07,SHARE,$928,"14,069",2025-01-06,2025-01-27,21
20,HB_CHUB_FB_350_F-IMG_R-1x1_EN_24WK53_P-MC_I-FBpostOpti_Itr-2 | H-R0-5 | B-R0-6 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,SHARE,$832,"15,202",2025-01-11,2025-01-24,13
21,HB_AK_FB_383_F-VID_R-1x1_EN_24WK02_P-MC_I-cortisolsigns_Itr-2 | H-R0-7 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,SHARE,$822,"16,202",2025-01-24,2025-01-26,2
22,HB_CHUB_FB_380_F-VID_R-9x16_EN_24WK02_P-MC_I-UGCnewhooks_Itr-2 | H-R0-3 | B-R5-3 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 380_UGCnewhooks | W03,VIDEO,$787,"15,397",2025-01-16,2025-01-28,12
