,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,ASC Ad set,VIDEO,$609,"17,894",2025-03-07,2025-03-22,15
2,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,top 3 w 40-60,VIDEO,$346,"8,335",2025-03-12,2025-03-30,18
3,HH_MIN_FB_026_F-VID_R-4x5_EN_25WK11_A-WL_Itr-3,Sale WL,VIDEO,$197,"4,779",2025-03-12,2025-03-15,3
4,HH_MIN_FB_030_F-VID_R-4x5_EN_25WK11_Itr-6,05. Video WL,VIDEO,$77,"1,832",2025-03-14,2025-03-16,2
5,HH_017_MIM_F-VID_R-9x16_EN_I-Mix_A-Sleep_Itr-8,04. Sleep itr,VIDEO,$63,"1,597",2025-03-14,2025-03-16,2
6,HH_MIN_FB_028_F-VID_R-4x5_EN_25WK11_A-Sleep_Itr-2,Sleep angle,VIDEO,$56,"1,548",2025-03-12,2025-03-14,2
7,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2,03. Video WL,VIDEO,$50,"1,209",2025-03-05,2025-03-24,19
8,HH_MIN_FB_028_F-VID_R-4x5_EN_25WK11_A-Sleep_Itr-1,Sleep angle,VIDEO,$35,823,2025-03-12,2025-03-14,2
9,HH_MIN_FB_027_F-VID_R-4x5_EN_25WK11_A-WL_Itr-1,40LBS WL,VIDEO,$35,673,2025-03-12,2025-03-14,2
10,HH_MIN_FB_027_F-VID_R-4x5_EN_25WK11_A-WL_Itr-2,40LBS WL,VIDEO,$34,687,2025-03-12,2025-03-14,2
11,HH_MIN_FB_026_F-VID_R-4x5_EN_25WK11_A-WL_Itr-1,Sale WL,VIDEO,$21,326,2025-03-12,2025-03-15,3
12,HH_MIN_FB_027_F-VID_R-4x5_EN_25WK11_A-WL_Itr-3,40LBS WL,VIDEO,$19,332,2025-03-12,2025-03-14,2
13,HH_017_MIM_F-VID_R-9x16_EN_I-Mix_A-Sleep_Itr-10,04. Sleep itr,VIDEO,$15,399,2025-03-14,2025-03-16,2
14,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-1 - Copy,ASC Ad set,VIDEO,$14,383,2025-03-07,2025-03-22,15
15,HH_MIN_FB_7_F-VID_R-9x16_EN_25WK08_Itr-1 - Copy,ASC Ad set,VIDEO,$13,541,2025-02-20,2025-03-22,30
16,KR_LV_FB_020_R-9x16_EN_25WK09_A-HypnoDelay_template3_video.mp4 - Copy,ASC Ad set,VIDEO,$13,629,2025-03-05,2025-03-22,17
17,HH_017_MIM_F-VID_R-9x16_EN_I-Mix_A-Sleep_Itr-9,04. Sleep itr,VIDEO,$11,263,2025-03-14,2025-03-16,2
18,HH_MIN_FB_030_F-VID_R-4x5_EN_25WK11_Itr-2,05. Video WL,VIDEO,$10,213,2025-03-14,2025-03-16,2
19,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-1 - Copy,top 3 w 40-60,VIDEO,$8,152,2025-03-12,2025-03-30,18
20,HH_MIN_FB_026_F-VID_R-4x5_EN_25WK11_A-WL_Itr-2,Sale WL,VIDEO,$8,154,2025-03-12,2025-03-15,3
21,HH_LV_002_LV_F-25WK06_IMG_R-1x1_EN_25WK06_I-D25WK06_Irect_A-Sleep - Copy,ASC Ad set,SHARE,$6,215,2025-02-15,2025-03-22,35
22,HH_MIN_FB_024_F-IMG_R-1x1_EN_25WK10_Itr-3 - Copy,top 3 w 40-60,SHARE,$6,193,2025-03-12,2025-03-30,18
23,HH_017_MIM_F-VID_R-9x16_EN_I-Mix_A-Sleep_Itr-1 - Copy,ASC Ad set,VIDEO,$5,175,2025-03-05,2025-03-22,17
24,HH_LV_002_LV_F-25WK06_IMG_R-4x5_EN_25WK06_I-Recommended_A-Sleep - Copy,ASC Ad set,SHARE,$4,160,2025-02-15,2025-03-21,34
25,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-1,03. Video WL,VIDEO,$3,88,2025-03-05,2025-03-24,19
26,HH_MIN_FB_12_F-VID_R-9x16_EN_25WK08_Itr-6,ASC Ad set,VIDEO,$2,137,2025-02-24,2025-03-22,26
27,HH_MIN_FB_16_F-VID_R-9x16_EN_25WK09_Itr-5 - Copy,ASC Ad set,VIDEO,$2,101,2025-03-05,2025-03-21,16
28,HH_MIN_FB_030_F-VID_R-4x5_EN_25WK11_Itr-1,05. Video WL,VIDEO,$1,29,2025-03-14,2025-03-16,2
29,HH_MIN_FB_15_F-IMG_R-9x16_EN_25WK09_Itr-4 - Copy,ASC Ad set,SHARE,$1,71,2025-03-05,2025-03-22,17
30,HH_MIN_FB_16_F-VID_R-9x16_EN_25WK09_Itr-4 - Copy,ASC Ad set,VIDEO,$1,41,2025-03-05,2025-03-22,17
31,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-3,03. Video WL,VIDEO,$0,10,2025-03-05,2025-03-24,19
32,HH_MIN_FB_5_F-VID_R-9x16_EN_25WK06_Itr-2 - Copy,ASC Ad set,VIDEO,$0,34,2025-02-15,2025-03-21,34
33,HH_MIN_FB_12_F-VID_R-9x16_EN_25WK08_Itr-1 - Copy,ASC Ad set,VIDEO,$0,23,2025-03-05,2025-03-22,17
