,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | WK14 - Copy,$759,"11,864",2025-04-06,2025-04-09,3
2,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-4 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-4 | WK15 - Copy,$366,"4,702",2025-04-08,2025-04-14,6
3,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,ASC WL 04.01 Ad set,$336,"5,301",2025-04-01,2025-04-11,10
4,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,Broad | B1,$257,"1,891",2025-04-11,2025-04-14,3
5,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,"Lookalike (US, 5% to 10%) - HH buyers 04.08",$253,"2,174",2025-04-08,2025-04-14,6
6,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,All weight loss intent Buyers w 40-60 - Copy 2,$238,"2,686",2025-04-04,2025-04-14,10
7,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,All weight loss intent Buyers | B2,$232,"1,462",2025-04-11,2025-04-14,3
8,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Broad | B2,$211,"2,015",2025-04-11,2025-04-14,3
9,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,All weight loss intent Buyers w 40-60 - Copy 2,$180,"2,380",2025-04-04,2025-04-14,10
10,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-1 | WK15 - Copy,$175,"2,526",2025-04-09,2025-04-13,4
11,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,kure interests mashup,$167,"2,568",2025-04-08,2025-04-10,2
12,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-3 | WK14 - Copy,$149,"2,077",2025-04-06,2025-04-08,2
13,HH_MIN_FB_052_F-VID_R-4x5_EN_25WK15_I-Selfie_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_052_F-VID_R-4x5_EN_25WK15_I-Selfie_A-WL_Itr-1 | WK15 - Copy,$143,"1,200",2025-04-11,2025-04-13,2
14,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,LLA 5% All weight loss intent Buyers,$139,"2,003",2025-04-11,2025-04-14,3
15,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,LLA 10% All weight loss intent Buyers,$137,"1,947",2025-04-11,2025-04-14,3
16,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Running (sport),$110,"1,815",2025-04-11,2025-04-14,3
17,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,All weight loss intent Buyers | B1,$104,522,2025-04-11,2025-04-14,3
18,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,All weight loss intent BMI25+ Non Buyers w 40-60 - Copy,$89,"1,085",2025-04-05,2025-04-09,4
19,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,All weight loss intent Non Buyers w 40-60 - Copy 3,$70,894,2025-04-04,2025-04-08,4
20,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,All weight loss intent BMI25+ Buyers,$65,556,2025-04-08,2025-04-10,2
21,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Marathons (running event),$64,"1,073",2025-04-11,2025-04-14,3
22,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,"Lookalike (US, 5% to 10%) - HH buyers 04.08",$59,540,2025-04-08,2025-04-14,6
23,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 3,Marathons (running event),$48,618,2025-04-11,2025-04-14,3
24,HH_MIN_FB_051_F-VID_R-4x5_EN_25WK15_I-Split_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_051_F-VID_R-4x5_EN_25WK15_I-Split_A-WL_Itr-1 | WK15 - Copy,$46,322,2025-04-11,2025-04-12,1
