,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,KR_LV_FB_176_F-VID_R-9x16_EN_25WK02_I-Mix_A-Overeating_Itr-6.mp4,CPA | iOS | AEM | US | 2024-12-10,"$13,167","511,792",2025-02-25,2025-04-13,47
2,KR_AS_FB_160_F-VID_R-9x16_EN_24WK52_I-robohead_Itr-2.mp4,CPA | iOS | AEM | US | 2025-01-07,"$5,123","170,009",2025-02-18,2025-04-14,55
3,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",BMI 25+ | WW | Last 7 days | 04.05,"$4,730","181,657",2025-04-05,2025-04-14,9
4,KR_AS_FB_164_F-VID_R-9x16_EN_24WK53_I-sound_A-Hyponotherapy_Itr-20.mp4,CPA | iOS | AEM | US | 2025-01-07,"$4,391","117,435",2025-02-18,2025-04-14,55
5,"KR_MM_FB_261_F-IMG_R-9x16_EN_245K08_I-Hypno_A-VGB_Itr-4_local_DE | Shed pounds easily | FU: de/fb | FB: Kure | No strict diets, no",Best new interest 25+ | DE | WK13 | 04.02,"$3,781","151,507",2025-04-02,2025-04-14,12
6,"KR_MIN_FB_365_F-VID_R-9x16_EN_25WK14_I-Solid_UGC-Mix_A-NoAlcoBored_Itr-5 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | CC55 | Broad | WK14 | 04.09 Ad set,"$3,152","98,484",2025-04-09,2025-04-14,5
7,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Broad 25+ | TOP4 | Last 7 days | 04.04,"$2,948","72,969",2025-04-05,2025-04-14,9
8,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Best interest 25+ | WW | Last 7 days | 04.05,"$2,807","131,437",2025-04-06,2025-04-12,6
9,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | CC55 | Broad | Last 7 days | 03.29 Ad set,"$2,707","88,331",2025-03-31,2025-04-10,10
10,KR_LV_FB_157_F-IMG_R-1x1_EN_24WK51_I-MIX_A-NoAlco_Itr-4 | It Only Takes | Make weight management – Copy | FU: no-alcohol-v1 | FB: Kure,"Lookalike (AU, CA, US, 2%) - Kure Top clients value > 60$ 2025.02.11 size 1.3k | TOP3 | Last 7 days | 03.08","$2,394","52,591",2025-03-30,2025-04-11,12
11,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Best interest 25+ | WW | Last 7 days | 04.05,"$2,123","95,235",2025-04-05,2025-04-13,8
12,KR_AS_FB_160_F-VID_R-9x16_EN_24WK52_I-robohead_Itr-2.mp4,CPA | iOS | AEM | T1 | 2024-12-26,"$2,112","159,897",2025-03-10,2025-04-14,35
13,KR_LV_FB_127_F-VID_R-9x16_EN_24WK49_I-SpecialSale77_A-VGB_Itr-5 | It Only Takes | FU: fb | Make weight management – Copy 9,WC | CBO | 1 AS | TOP4 | CC55 | Broad | Last 7 days | 03.29 Ad set,"$1,890","51,875",2025-04-07,2025-04-14,7
14,"KR_AS_FB_164_F-VID_R-9x16_EN_25WK15_I-sound_A-Hyponotherapy_Itr-20_local_FR | Shed pounds easily | FU: fr/fb | FB: Kure| No strict diets, no",KR_AS_FB_164_F-VID_R-9x16_EN_25WK15_I-sound_A-Hyponotherapy_Itr-20_local_FR | WK15 – Copy,"$1,857","76,970",2025-04-10,2025-04-14,4
15,"KR_AS_FB_160_F-VID_R-9x16_EN_25WK15_I-robohead_Itr-2_local_FR | Shed pounds easily | FU: fr/fb | FB: Kure| No strict diets, no",KR_AS_FB_160_F-VID_R-9x16_EN_25WK15_I-robohead_Itr-2_local_FR | WK15 – Copy,"$1,810","122,835",2025-04-10,2025-04-14,4
16,"KR_MM_FB_261_F-IMG_R-9x16_EN_245K08_I-Hypno_A-VGB_Itr-4_local_IT | Shed pounds easily | FU: it/fb | FB: Kure | No strict diets, no",Broad 25+ | IT | Best creatives | 04.05,"$1,792","111,068",2025-04-05,2025-04-13,8
17,"KR_LV_FB_173_F-VID_R-9x16_EN_25WK15_I-List_A-Hyponotherapy_Itr-5_local_FR | Shed pounds easily | FU: fr/fb | FB: Kure| No strict diets, no",KR_LV_FB_173_F-VID_R-9x16_EN_25WK15_I-List_A-Hyponotherapy_Itr-5_local_FR | WK15 – Copy,"$1,786","67,037",2025-04-10,2025-04-14,4
18,KR_LV_FB_176_F-VID_R-9x16_EN_25WK02_I-Mix_A-Overeating_Itr-6.mp4 - Copy,CPA | iOS | AEM | T1 | 2024-12-26,"$1,764","124,918",2025-03-17,2025-04-14,28
19,KR_LV_FB_115_F-VID_R-9x16_EN_24WK48_I-BlackFriday_A-VGB_Itr-8.mp4,CPA | iOS | AEM | US | 2024-12-10,"$1,601","39,959",2024-12-19,2025-04-14,116
20,"KR_MIN_FB_365_F-VID_R-9x16_EN_25WK14_I-Solid_UGC-Mix_A-NoAlcoBored_Itr-5 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no","Lookalike (AU, CA, US, 2%) | 25+ | TOP4 | WK14 | 04.09 2 batch","$1,548","27,515",2025-04-09,2025-04-11,2
21,"KR_MIN_FB_267_F-VID_R-9x16_EN_25WK09_I-Sale_UGC-Samantha_A-NoAlco_Itr-3 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",Best interest 25+ | TOP3 | Last 7 days | 03.22 2 batch,"$1,496","39,312",2025-03-22,2025-04-09,18
22,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Broad 25+ | TOP4 | Last 7 days | 04.05,"$1,467","72,090",2025-04-05,2025-04-08,3
23,"KR_MM_FB_330_F-IMG_R-9x16_EN_24WK12_I-Sale_A-VGB_Itr-3 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no – Copy",WC | CBO | 1 AS | TOP4 | Broad | Last 7 days | 03.29 Ad set,"$1,394","34,743",2025-03-29,2025-04-13,15
24,"KR_MM_FB_260_F-VID_R-9x16_EN_25WK15_I-Sale_A-VGB_Itr-1_local_FR-june | Shed pounds easily | FU: fr/fb | FB: Kure| No strict diets, no",KR_MM_FB_260_F-VID_R-9x16_EN_25WK15_I-Sale_A-VGB_Itr-1_local_FR-june | WK15 – Copy,"$1,305","33,384",2025-04-10,2025-04-14,4
25,KR_AS_FB_164_F-VID_R-9x16_EN_24WK53_I-sound_A-Hyponotherapy_Itr-20 | It Only Takes | Make weight management – Copy 9,Best interest 25+ | TOP3 | Last 7 days | 03.22,"$1,281","40,679",2025-04-06,2025-04-12,6
26,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Broad 25+ | TOP4 | Last 7 days | 04.05,"$1,260","55,546",2025-04-05,2025-04-10,5
27,"KR_MIN_FB_365_F-VID_R-9x16_EN_25WK14_I-Solid_UGC-Mix_A-NoAlcoBored_Itr-5 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",KR_MIN_FB_365_F-VID_R-9x16_EN_25WK14_I-Solid_UGC-Mix_A-NoAlcoBored_Itr-5 | WK14 – Copy,"$1,227","41,670",2025-04-02,2025-04-12,10
28,"KR_LV_FB_269_F-VID_R-9x16_EN_25WK09_I-14_A-NoAlcoBored_template2_combined | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",BMI 25+ | TOP4 | Last 7 days | 04.05 – Copy,"$1,201","51,427",2025-04-05,2025-04-10,5
