,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,MD_LA_FB_3257_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W05_V5 | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar | FB: MB | CTA: Download,WC || Mix || MB Funnel || CBO || MB Legacy Pixel || best adsets L30d #12 || 04.10 Full Copy DJ - Advantage+ shopping campaign Ad Set,"$1,357","139,396",2025-04-10,2025-04-12,2
2,MD_LA_FB_3257_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W05_V5 | 28-Day Plan | Engineered | LP: mybody.health/startnow/landing-1-mb-pbp-sugar | FB: MB | CTA: Download,WC || TOP4 || Funnel: MB || CBO || MB Legacy Pixel || L3D Adset Mix #2 || 04.08 Full Copy DJ - Advantage+ shopping campaign Ad Set,"$1,296","120,841",2025-04-08,2025-04-12,4
3,MD_LA_FB_3257_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W05_V5 | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar | FB: MB | CTA: Download,Klinio Leads | All | 41-65+ | TOP4 | MB Legacy Pixel | 1DC1DV | Manual Manual Feed & Reels Only | 3x8 | NC | 11:40,"$1,265","67,783",2025-04-05,2025-04-08,3
4,MD_LA_FB_3257_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W05_V5 | 28-Day Plan | Engineered | LP: mybody.health/startnow/seniors-mb-pbp-sugar | FB: MB | CTA: Download,WC || Mix || MB Funnel || CBO || MB Legacy Pixel || best adsets L30d #12 || 04.10 Full Copy DJ - Advantage+ shopping campaign Ad Set,$854,"90,723",2025-04-10,2025-04-12,2
5,MD_MPS_FB_3236_IMG_EN_FU-Sugar_C-NoDiabetes_H-1824_Itr_W04_V8 | 28-Day Plan | 5 Reasons why | LP: mybody.health/startnow/mb-pbp-sugar-landing-1 | FB: MB Health | CTA: Learn More,Klinio Leads | All | 41-65+ | TOP3 | MB Legacy Pixel | 1DC1DV | Manual Feed & Reels Only | 3x8 | NC | 11:40,$716,"37,301",2025-04-06,2025-04-08,2
6,MD_RK_FB_3328_IMG_EN_FU-sugar_C-A1cBeginners_H-H-1822_W09_V6.png | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar | FB: MB Health | CTA: Learn More,Broad excl. WV | All | 35-65+ | WW | MB Legacy Pixel | 1DC1DV | Manual Feed & Reels Only | 1x14 | NC | 11:40 – Copy,$695,"42,770",2025-04-08,2025-04-10,2
7,MD_LA_FB_3267_VID_EN_fu-sugar_C-SimpleVideos_H-1822_W06_V8.mp4 | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar-landing-2 | FB: MB Health | CTA: Learn More,WC || TOP3 || MB Funnel || ASC+ || MB Legacy Pixel || Broad x MD_LA_FB_3267_VID_EN_fu-sugar-landing-2_C-SimpleVideos_H-1822_W06_V8.mp4 || 1x21 || NC || 12:00 || 04.07 DJ  Advantage+ shopping campaign Ad Set,$687,"36,101",2025-04-07,2025-04-09,2
8,MB_LA_FB_3382_IMG_EN_FU-pcos-landing1_C-LocaleDE_H-1980_T-820_W13_V4 | Lindert Symptom | Entwickelt | LP: mybody.health/de/startnow/mb-pbp-pcos-landing1 | FB: MB Health,WC || DE-L || PCOS || ABO || MB Legacy pixel || Advantage+ shopping || ASC+,$674,"68,154",2025-04-02,2025-04-10,8
9,MD_MPS_FB_3294_IMG_DE_FU-sugar_C-LocaleDE_H-1822_T-674_W07_V3 | 28-tägiger | Entwickelt | LP: mybody.health/de/startnow/mb-pbp-sugar | FB: MB Health,DE-C | LP Mix | Broad | 25+ | All | 1DC | Auto Placements,$654,"26,953",2025-03-26,2025-04-10,15
10,MD_LA_FB_3227_IMG_EN_FU-Sugar_C-Veins_H-1807_T-674_W03_V4 | 28-Day Plan | Engineered | LP: mybody.health/startnow/seniors-mb-pbp-sugar | FB: Thrive at 65 | CTA: Learn More,WC || TOP3 || MB Funnel || CBO || MB Legacy Pixel || L7D Adset Mix #2 x Top Ads || 3x8 || NC || 04.10 DJ - Advantage+ shopping campaign Ad Set,$636,"81,104",2025-04-10,2025-04-12,2
