,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2,Test,"$1,309","15,890",2025-03-06,2025-04-14,39
2,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | Custom Stack 1,"$1,183","12,918",2025-02-19,2025-04-14,54
3,RH_AK_FB_074_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1 | 122168895008293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 074_fbpost | W13,"$1,033","12,561",2025-04-04,2025-04-14,10
4,RH_AK_FB_073_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1 |122167396040293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 073_fbpost | W13,"$1,021","12,432",2025-04-03,2025-04-14,11
5,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK11_P-INO_body_itr-3 | 122165882036293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 060_obvi | W11,$975,"8,527",2025-03-18,2025-04-14,27
6,RH_AK_FB_067_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 067_fbpost | W12,$903,"11,560",2025-03-24,2025-04-14,21
7,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | 122157166934293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 010_ripoff | W03,$892,"6,652",2025-01-28,2025-04-14,76
8,RH_AK_FB_042_F-IMG_R-1X1_EN_25WK08_P-CO_fbtext-3 | 122161983848293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 042_fbtext | W08,$851,"7,639",2025-02-28,2025-04-14,45
9,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-1 | 122161983842293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 045_fbpost | W08,$846,"6,874",2025-03-01,2025-04-14,44
10,RH_AK_FB_071_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1 | 122167395836293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 071_fbpost | W13,$833,"8,298",2025-04-02,2025-04-14,12
11,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,$806,"8,597",2025-03-05,2025-04-14,40
12,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2,1c | W | 23-65+ | Autobid,$762,"9,743",2025-03-10,2025-04-14,35
13,RH_AK_FB_077_F-IMG_R-1X1_EN_25WK13_P-INO_avatar_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 077_avatar | W13,$686,"6,639",2025-04-07,2025-04-14,7
14,RH_AK_FB_072_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 072_fbpost | W13,$622,"6,219",2025-04-02,2025-04-14,12
15,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2,Control,$606,"6,107",2025-03-06,2025-04-11,36
16,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | CC-125,$606,"5,390",2025-01-16,2025-04-14,88
17,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-1,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 003_Black | W03,$588,"4,322",2025-01-24,2025-04-12,78
18,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,CB buyers 1-2% | A+ | 1c | 25+,$581,"6,186",2025-02-12,2025-04-14,61
19,RH_AK_FB_080_F-IMG_R-1X1_EN_25WK13_P-INO_fbpostcolor-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 080_fbpostcolor | W13,$564,"6,032",2025-04-08,2025-04-14,6
20,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2 | LP:Colostrum,CB buyers 4-5% | A+ | 1c | 25+,$527,"5,516",2025-02-19,2025-04-14,54
21,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK13_P-INO_body_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 079_body | W13,$518,"4,357",2025-04-08,2025-04-14,6
22,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-CO_obvi_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 059_body | W11,$488,"4,825",2025-03-18,2025-04-11,24
23,RH_AK_FB_078_F-IMG_R-1X1_EN_25WK13_P-INO_lookingfor_itr-1,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 078_lookingfor | W13,$434,"3,685",2025-04-07,2025-04-14,7
24,RH_AK_FB_078_F-IMG_R-1X1_EN_25WK13_P-INO_lookingfor_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 078_lookingfor | W13,$431,"3,611",2025-04-07,2025-04-14,7
25,RH_AK_FB_073_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,Control,$412,"4,339",2025-04-11,2025-04-14,3
26,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-CO_obvi_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 059_body | W11,$392,"4,046",2025-03-18,2025-04-14,27
27,RH_AK_FB_083_F-IMG_R-1X1_EN_25WK15_P-INO_bodyparts_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 083_bodyparts | W15,$386,"4,445",2025-04-11,2025-04-14,3
28,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,Test,$382,"3,752",2025-03-06,2025-04-14,39
29,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1 | 122161780652293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 040_body | W08,$367,"1,992",2025-02-27,2025-04-10,42
30,RH_AK_FB_072_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 072_fbpost | W13,$342,"5,640",2025-04-02,2025-04-11,9
31,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK13_P-INO_body_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 079_body | W13,$342,"3,959",2025-04-08,2025-04-11,3
32,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,CB buyers 4-5% | A+ | 1c | 25+,$340,"3,509",2025-02-19,2025-04-14,54
33,RH_AK_FB_080_F-IMG_R-1X1_EN_25WK13_P-INO_fbpostcolor-1,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 080_fbpostcolor | W13,$269,"2,954",2025-04-08,2025-04-14,6
34,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,Control,$247,"2,633",2025-03-06,2025-04-11,36
35,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK11_P-INO_body_itr-3,1c | W | 23-65+ | CC-110,$243,"2,184",2025-03-25,2025-04-14,20
36,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,1c | W | 23-65+ | CC-110,$243,"2,434",2025-03-10,2025-04-14,35
