,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,RH_AK_FB_083_F-IMG_R-1X1_EN_25WK15_P-INO_bodyparts_itr-2 | 122169899252293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 083_bodyparts | W15,SHARE,"$1,093","6,687",2025-04-11,2025-05-19,38
2,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-CO_obvi_itr-3 | 122165882192293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 059_body | W11,SHARE,$985,"6,718",2025-03-18,2025-05-19,62
3,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-1 | 122161983842293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 045_fbpost | W08,SHARE,$963,"6,617",2025-03-01,2025-05-18,78
4,RH_AK_FB_078_F-IMG_R-1X1_EN_25WK13_P-INO_lookingfor_itr-2 | 122168895158293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 078_lookingfor | W13,SHARE,$952,"6,506",2025-04-07,2025-05-19,42
5,RH_AK_FB_093_F-IMG_R-9X16_EN_25WK16_P-INO_fbpost_itr-1 | 122170939646293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 093_fbpost | W16,SHARE,$874,"6,474",2025-04-22,2025-05-19,27
6,RH_AK_FB_101_F-IMG_R-1X1_EN_25WK18_P-INO_fbpost_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 101_fbpost | W18,SHARE,$858,"6,899",2025-05-03,2025-05-19,16
7,RH_AK_FB_099_F-IMG_R-9X16_EN_25WK17_P-INO_outofstock_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 099_outofstock | W17,VIDEO,$852,"5,673",2025-04-28,2025-05-19,21
8,RH_AK_FB_073_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1 |122167396040293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 073_fbpost | W13,SHARE,$801,"4,839",2025-04-03,2025-05-18,45
9,RH_AK_FB_096_F-IMG_R-1X1_EN_25WK17_P-INO_testimonial_itr-1 | 122172471632293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 096_testimonial | W17,SHARE,$714,"3,836",2025-04-25,2025-05-19,24
10,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | LP:Colostrum,CB buyers 1-2% | A+ | 1c | 25+,SHARE,$692,"6,676",2025-02-12,2025-05-19,96
11,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | Custom Stack 1,SHARE,$642,"7,676",2025-02-19,2025-05-17,87
12,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | CC-125,SHARE,$622,"8,770",2025-01-16,2025-05-19,123
13,RH_AK_FB_095_F-IMG_R-1X1_EN_25WK17_P-INO_body_itr-2 | 122172471548293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 095_body | W17,SHARE,$597,"4,378",2025-04-25,2025-05-17,22
14,RH_AK_FB_083_F-IMG_R-1X1_EN_25WK15_P-INO_bodyparts_itr-2,1c | W | 23-65+ | Autobid,SHARE,$416,"2,497",2025-04-16,2025-05-19,33
15,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,CB buyers 4-5% | A+ | 1c | 25+,SHARE,$405,"4,023",2025-02-19,2025-05-19,89
16,RH_AK_FB_072_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | Custom Stack 1,SHARE,$339,"2,455",2025-04-16,2025-05-18,32
17,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2,1c | W | 23-65+ | Autobid,SHARE,$339,"4,641",2025-03-10,2025-05-19,70
18,RH_AK_FB_083_F-IMG_R-1X1_EN_25WK15_P-INO_bodyparts_itr-2,1c | W | 23-65+ | CC-110,SHARE,$331,"1,674",2025-04-16,2025-05-19,33
19,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,1c | All | 25-65+ | CC-125,SHARE,$314,"2,799",2025-03-05,2025-05-19,75
20,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-INO_obvi_itr-1,1c | All | 25-65+ | CC-125,SHARE,$278,"1,778",2025-03-25,2025-05-19,55
21,RH_AK_FB_089_F-IMG_R-9X16_EN_25WK16_P-INO_bodyparts_itr-1,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 089_bodyparts | W16,SHARE,$252,"2,382",2025-04-17,2025-05-15,28
22,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK13_P-INO_body_itr-2 | 122168895128293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 079_body | W13,SHARE,$246,"1,379",2025-04-08,2025-05-14,36
23,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1,1c | All | 25-65+ | Custom Stack 1,SHARE,$188,"1,541",2025-03-05,2025-05-19,75
24,RH_AK_FB_083_F-IMG_R-1X1_EN_25WK15_P-INO_bodyparts_itr-2,1c | All | 25-65+ | CC-125,SHARE,$182,"1,045",2025-04-16,2025-05-16,30
25,RH_AK_FB_089_F-IMG_R-9X16_EN_25WK16_P-INO_bodyparts_itr-3 | 122170939514293571,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 089_bodyparts | W16,SHARE,$160,"1,060",2025-04-17,2025-05-13,26
26,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,CB buyers 1-2% | A+ | 1c | 25+,SHARE,$158,"2,195",2025-02-12,2025-05-18,95
27,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,CB buyers 1-2% | A+ | 1c | 25+,SHARE,$132,"1,614",2025-02-12,2025-05-15,92
28,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | 122157166934293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 010_ripoff | W03,SHARE,$132,934,2025-01-28,2025-05-13,105
29,RH_AK_FB_096_F-IMG_R-1X1_EN_25WK17_P-INO_testimonial_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 096_testimonial | W17,SHARE,$127,"1,113",2025-04-25,2025-05-18,23
30,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-INO_obvi_itr-1,CB buyers 4-5% | A+ | 1c | 25+,SHARE,$126,768,2025-04-23,2025-05-18,25
31,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,1c | W | 23-65+ | CC-110,SHARE,$113,998,2025-03-10,2025-05-19,70
32,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | LP:Colostrum,1c | All | 25-65+ | CC-125,SHARE,$106,"1,039",2025-01-30,2025-05-19,109
33,RH_AK_FB_093_F-IMG_R-9X16_EN_25WK16_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-125,SHARE,$103,813,2025-05-04,2025-05-19,15
34,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,CB buyers 4-5% | A+ | 1c | 25+,SHARE,$92,991,2025-04-23,2025-05-18,25
35,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-1,1c | All | 25-65+ | Custom Stack 1,SHARE,$78,543,2025-03-05,2025-05-19,75
